"proposition","source"
"Les bailleurs sociaux devront proposer des solutions de relogement aux personnes handicapées et vieillissantes dont le logement social n'est plus adapté, ou bien faire des travaux dans ces logements (par exemple changer une baignoire en douche, adapter le mobilier de la cuisine,...).","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous continuerons à encourager la scolarisation en milieu ordinaire des nombreux enfants aujourd’hui sans solution scolaire.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous donnerons accès à un(e) auxiliaire de vie scolaire à tous les enfants en situation de handicap qui en ont besoin pour avoir une scolarité comme les autres.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous améliorerons le parcours des jeunes permettant l’accès aux diplômes, notamment au travers des adaptations numériques.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous améliorerons la vie des personnes handicapées autour de l’école, par exemple en assurant une meilleure accessibilité des activités de loisirs péri-scolaires, en organisant des séjours de vacances dédiés ou mixtes.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous ferons de la lutte contre la discrimination une priorité nationale. Nous développerons des opérations de contrôles aléatoires et imprévus à grande échelle. Nous désignerons les entreprises fautives. Les partenaires sociaux seront également mobilisés.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous prévoirons un abondement public pour le compte personnel d'activité des personnes handicapées et introduirons une labellisation spécifique pour les formations qui leur sont destinées, tenant compte des débouchés professionnels des formations.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous développerons et encouragerons les initiatives de tutorat dans l’entreprise.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous encouragerons les expérimentations tripartites (Pôle Emploi/associations/organismes de formation) pour favoriser l'insertion et la reinsertion des travailleurs handicapés.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous poursuivrons et amplifierons les actions incitatives en faveur de l’accessibilité des cabinets médicaux, de la formation des médecins aux spécificités de l’examen de la personne handicapée. Nous poursuivrons l’inventaire pour la revalorisation des actes longs.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous financerons des appels à projet pour le développement d’appareils médicaux (mammographies, scanners...) adaptés et innovants.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous lancerons un plan d’évaluation des techniques et méthodes de prise en charge des handicaps (rééducation, réadaptation, réhabilitation cognitive et/ou comportementale) par des travaux encadrés par des enseignants chercheurs.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous permettrons le don de RTT entre collègues pour les personnes aidantes dans les entreprises","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous prendrons en compte la situation des personnes aidantes dans le calcul de l’âge de départ à la retraite dans la réforme que nous conduirons.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Nous permettrons aux aidants de mieux se former ou d’être accompagnés, au moment de l’annonce du handicap d'un proche et de manière régulière.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"Définir de façon systématique des indicateurs d’inclusion pour chacune des politiques publiques menées. Il s’agit de partager, en amont, des objectifs clairs et précis dans tous les domaines pour mieux évaluer, en aval, l’impact des politiques publiques décidées.","https://en-marche.fr/emmanuel-macron/le-programme/handicap"
"15 milliards d’euros seront consacrés à la transition écologique.","https://en-marche.fr/emmanuel-macron/le-programme/plan-investissement"
